StartDate,EndDate,Status,Progress,duration,Finished,RecordedDate,Q_RecaptchaScore,consent,prolificID,enviroID4,efficacy5,efficacy6,ccBelief1,ccBelief2,ccBelief3,ccBelief4,ccBelief5,age,gender,genderOther,race,raceOther,education,rurality,income,children,election,politics,BIPOC,dictatorGame,waterWashingNotFull_r,waterDishNotFull_r,waterShowerStop_,waterTeethStop_,waterLawn_r,homeClothesCold_,homeClothesHang_,homeClothesDryer_r,homeLightsOff_,socialCritical_r,socialSupportive_,socialReduceImpact_,socialOutside_,socialDocumentary_,socialRead_,socialGroup_,socialConversation_,foodOrganicVeg_,foodLocal_,foodGarden_,foodOwnLunch_,foodForage_,foodRefrainedDistance_,foodMeat_r,foodBeef_r,foodLunchNoMeat_,foodDinnerNoMeat_,foodMeatEveryDay_r,foodCowMilk_r,foodTofu_,foodNonDairyMilk_,foodOatMilk_,foodVegan_,packDisposableWaterAway_r,packDisposableWaterHome_r,packTapWaterHome_,packNonWaterDisposable_r,packReusableBottle_,packReusableMug_,packDisposableCoffee_r,packDeclineBag_,packReusableBag_,packDisposableBag_r,packContainerToRestaurant_,packCarriedUtensils_,packDisposablePlate_r,packRags_,packReusableNapkin_,packZiploc_r,packPaperTowel_r,packReducedPlastic_,packGlassAlumOverPlastic_,packAlumOverGlass_,packRecycledContainer_,packRecycledPaper_,packPickUpRecycle_,packCompost_,packCarriedTrash_,packPickedUpLitter_,packThrownAwayRecycling_r,packPullRecycleFromTrash_,packDilutedSoap_,packGaveNotThrown_,packRepaired_,packReusedPaperPlasticBags_,purchThrownAwayEarly_r,foodThrownBadFood_r,foodThrownGoodFood_r,packReusedSingleUse_,purchBoughtSecondHand_,packGaveToFriend_,purchBuyNothing_,purchSlowShipping_,transWalk_,transBike_,transPublic_,transCarpool_,transDrivenAlone_r,transTaxiAlone_r,transTirePressure_,fashFast_r,purchOnlyNecessities_,fashPutAside_,fashShoppedSecondHand_,purchTriedSecondHand_,enviroID1,enviroID2,enviroID3,greenGlow1,greenGlow2,greenGlow3,greenGlow4,efficacy1,efficacy2,efficacy3,efficacy4,p.fit,p.df,p.outfitMSQ,p.infitMSQ,p.outfitZ,p.infitZ,rebl_score
2023-05-02,2023-05-02,IP Address,100,558,True,2023-05-02T15:39:28Z,0.699999988079071,Yes,5484620efdf99b0379939c6a,4,3,5,4,5,4,1,5,59.5,0,NA,white,NA,0,Rural,12500,0,I did not vote in the last election,Somewhat conservative,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,4,4,4,5,5,4,4,3,1,5,4.756144917056697,24,0.19817270487736238,0.6475662258130382,0.3360458660609561,-0.6473517983446133,-3.7059794834995996
2023-05-02,2023-05-02,IP Address,100,608,True,2023-05-02T15:08:20Z,1,Yes,549b8ef4fdf99b4ffa5fa0c9,4,1,4,3,3,3,2,3,49.5,1,NA,white,NA,0,Suburban,75000,1,Biden/Harris,Somewhat conservative,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,3,4,4,4,4,4,2,3,3,4,4,11.956557844776919,24,0.4981899101990383,0.714073001575417,-1.0097004378141328,-1.0146831146733457,-0.19480938115299828
2023-05-02,2023-05-02,IP Address,100,601,True,2023-05-02T15:21:23Z,1,Yes,5589565cfdf99b6bd06016dc,4,5,6,5,6,6,6,0,59.5,1,NA,white,NA,0,Suburban,12500,2,Biden/Harris,Liberal,0,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,4,4,4,1,6,4,1,5,21.742858994524727,24,0.905952458105197,1.0571205010676843,0.30391711347103634,0.27781058666649444,-2.201377483475753
2023-05-02,2023-05-02,IP Address,100,524,True,2023-05-02T15:42:14Z,1,Yes,558de4bffdf99b0cad9683ba,6,4,6,6,6,6,6,0,59.5,1,NA,white,NA,0,Suburban,12500,2,Biden/Harris,Very liberal,0,5,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,16.373185214319683,24,0.6822160505966535,0.8644103487426715,-0.509116503629474,-0.4000897900949517,-0.19480938115299828
2023-05-02,2023-05-02,IP Address,100,1545,True,2023-05-02T16:31:28Z,1,Yes,558fd02cfdf99b39cb035e5d,1,1,2,6,6,6,4,0,49.5,0,NA,white,NA,0,Rural,37500,0,Biden/Harris,Liberal,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,2,1,1,3,3,3,1,2,1,1,3,5.135339486713421,24,0.2139724786130592,0.41322139710082534,-0.6496305961985953,-2.1183259169713584,-2.201377483475753
2023-05-02,2023-05-02,IP Address,100,595,True,2023-05-02T15:59:09Z,1,Yes,55900dcffdf99b3f7aada3f5,5,5,5,5,6,5,5,1,69.5,0,NA,white,NA,1,Suburban,12500,2,Biden/Harris,Liberal,0,2,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,5,5,5,5,5,5,5,5,5,5,5,37.6397315560673,24,1.5683221481694707,1.289349044338934,1.012205313110783,0.9611408821632119,-0.7993243569416129
2023-05-02,2023-05-02,IP Address,100,683,True,2023-05-02T16:36:59Z,1,Yes,559c192bfdf99b218a61f57f,5,4,5,4,5,5,4,1,39.5,0,NA,asian,NA,1,Urban,150000,1,Biden/Harris,Liberal,1,2,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1,1,0,1,6,5,5,5,5,5,5,5,5,5,5,27.566720560597382,24,1.1486133566915575,1.1231372607843895,0.44513018394111237,0.5083247970373622,-0.19480938115299828
2023-05-02,2023-05-02,IP Address,100,1126,True,2023-05-02T16:02:35Z,0.8999999761581421,Yes,559ecce6fdf99b16653fb880,0,2,4,5,5,5,1,1,29.5,0,NA,white,NA,1,Suburban,37500,0,Biden/Harris,Somewhat liberal,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,3,3,4,3,4,1,4,1,1,1,14.83109507286849,24,0.6179622947028537,0.8565283911796985,-0.4271445773551369,-0.36384349825846424,-1.1201557733414802
2023-05-02,2023-05-02,IP Address,100,495,True,2023-05-02T15:54:59Z,1,Yes,559fa17cfdf99b69c369d364,6,6,6,6,6,6,5,0,49.5,0,NA,white,NA,1,Urban,75000,0,Biden/Harris,Somewhat liberal,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,6,6,6,6,6,6,6,6,6,6,6,11.539801412456162,24,0.4808250588523401,0.6733536886879652,-0.952918856737384,-1.307106932248763,0.37839338384448384
2023-05-02,2023-05-02,IP Address,100,371,True,2023-05-02T15:34:40Z,0.8999999761581421,Yes,55a55bd7fdf99b790558627c,6,5,6,6,6,6,5,0,39.5,1,NA,white,NA,1,Suburban,37500,0,Biden/Harris,Very liberal,0,0,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,6,5,5,6,6,6,6,6,6,5,6,22.154354707606288,24,0.9230981128169287,0.9885393347130521,0.03715978187532376,0.060627556745543966,-0.49183242215318507
